date,ticker,price,tier,theme,structural_force,composite_score,system_fit,advanced,session_verdict,return_driver,conviction_avg,lifecycle_sweet_spot
2026-04-13,CYRX,9.67,T2,cgt_cold_chain_logistics,Biotech Capital Cycle Recovery,7.35,STRONG,yes,PASS,FUNDAMENTAL_RERATE,2.67,true
2026-04-13,KYTX,9.22,T2,car_t_autoimmune,Biotech Capital Cycle Recovery,8.35,STRONG,yes,PASS,CATALYST_DRIVEN,2.50,true
2026-04-13,NAMS,34.76,T3,oral_cetp_inhibitor,Biotech Capital Cycle Recovery,8.15,MODERATE,yes,PASS,CATALYST_DRIVEN,2.17,false
2026-04-13,DLO,13.12,,em_payment_infrastructure,,7.00,MODERATE,no,REMOVED_CRO,FUNDAMENTAL_RERATE,,false
2026-04-13,GHM,91.09,,navy_submarine_hardware,Defence & Autonomous Systems,8.75,STRONG,no,WATCHLIST,,,false
2026-04-13,MXL,0.00,,800g_optical_interconnect,AI Data Centre Infrastructure,7.40,MODERATE,no,DEFERRED,,,false
2026-04-13,PDFS,0.00,,semiconductor_yield_analytics,AI Data Centre Infrastructure,6.55,MODERATE,no,DEFERRED,,,false
2026-04-13,ATLC,0.00,,nonprime_consumer_credit,,6.40,MODERATE,no,DEFERRED,,,false
2026-04-13,PENG,0.00,,ai_memory_cxl,AI Data Centre Infrastructure,6.30,MODERATE,no,FAIL_THEMATIC,,,false
2026-04-13,GERN,0.00,,telomerase_inhibitor,Biotech Capital Cycle Recovery,5.95,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,AVBP,0.00,,egfr_nsclc_therapy,Biotech Capital Cycle Recovery,5.80,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,MLAB,0.00,,lab_equipment_niche,,5.75,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,KRNT,0.00,,digital_print_workflow,,5.75,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,ZNTL,0.00,,biotech_oncology,Biotech Capital Cycle Recovery,5.35,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,VISN,0.00,,vision_ai_inspection,,5.10,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,MOV,0.00,,luxury_watches,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,LOVE,0.00,,home_furnishings,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,FUNC,0.00,,community_banking,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,OEC,0.00,,specialty_chemicals,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,IHRT,0.00,,radio_media,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,PSNY,0.00,,ev_manufacturing,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,PBYI,0.00,,oncology_commercial,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,INN,0.00,,hospitality_reit,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,AMC,0.00,,movie_exhibition,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,SIDU,0.00,,ev_manufacturing,,0.00,POOR,no,FAIL_THEMATIC,,,false
2026-04-13,RCAT,0.00,,ndaa_tactical_drones,Defence & Autonomous Systems,7.75,MODERATE,no,EXCLUDED_MACRO_ONLY,,,false
2026-04-13,BKSY,0.00,,defense_space_isr,Defence & Autonomous Systems,7.00,MODERATE,no,EXCLUDED_MACRO_ONLY,,,false
2026-04-13,UMAC,0.00,,ndaa_tactical_drones,Defence & Autonomous Systems,7.75,MODERATE,no,EXCLUDED_MACRO_ONLY,,,false
