week_id,anchor_date,ticker,sector,signal_strength,theme,archetype,furthest_stage,outcome,decided_at_stage,reason,type,conviction,signal_price,target_bear,target_base,target_bull,target_overshoot,target_prob_adj,catalyst_window,opportunity_vs_RKLB,decision_date,px_3mo,px_6mo,px_12mo,px_18mo,px_24mo,notes
2026-W23,2026-06-06,ELTX,,,,N,deep dive,BUY,deep dive,"unresolved-binary — control-arm corridor / muddy non-separating DFS (observation control out-surviving design compresses the HR toward an underpowered, ambiguous primary). The Gritstone GRANITE failur",multibagger,Bullish,13.26,2.5,7,55,97,28.9,"Mid-year 2026 — event-driven AMPLIFY-7P Phase 2 DFS primary readout (ELI-002 7P vs observation control, 2:1, post-resection mKRAS PDAC). No committed calendar date; triggers on accrued DFS events. Wat",,2026-06-06,,,,,,(06-06 pre-harness; deep-dive layer)
2026-W23,2026-06-06,CPS,,,,V,deep dive,BUY,deep dive,"unresolved-binary (cyclical head-fake / round-tripper: §7-#4 margin-inflection spine regressing at the EBITDA line in the latest print — Q1'26 adj EBITDA $58.7M->$51.0M, margin 8.8%->7.4%, annualizing",great trade,Bullish,29.32,20,48,80,110,51.6,12-30 months; next dated proof point Q2'26 earnings (Aug 2026) — FY26 FCF guide (withheld at Q1) + H2 EBITDA ramp must begin reversing the Q1 $58.7M->$51.0M regression + $90M lean delivery / net-lever,,2026-06-06,,,,,,(06-06 pre-harness; deep-dive layer)
2026-W23,2026-06-06,LE,,,,V,deep dive,BUY,deep dive,unresolved-binary — the valuation/MAGNITUDE bear: June 9 framework could disclose a mundane steady-state ~$1 net-of-minority-interest EPS with no royalty-co optionality; market re-rates DOWN toward an,great trade,Bullish,10.66,8,13.5,24,42,17.05,"Imminent — June 9, 2026 (~2 days out, well inside the funding clock: debt-free, self-funding, runway unbounded). Enhanced 8:00am ET earnings call + investor presentation: Q1 FY26 comps (did Q4's +4.7%",,2026-06-06,,,,,,(06-06 pre-harness; deep-dive layer)
2026-W23,2026-06-06,RXRX,,,,N,deep dive,BUY,deep dive,"real-but-priced (Dilution-Machine — live $300M ATM, Feb-2026, zero drawn, full capacity, ~+16% shares to ~607M, sold into any re-rate over collapsing single-partner revenue; caps multiple-expansion MA",great trade,Bullish,3.32,2,3.6,7,13,4.36,"Next 6-18 months, front-loaded H2-2026: (1) H2-2026 FDA registrational-path UPDATE for FAP REC-4881 (single most important read — accelerated/concrete path vs large confirmatory trial); (2) REC-1245 (",,2026-06-06,,,,,,(06-06 pre-harness; deep-dive layer)
2026-W23,2026-06-06,SENS,,,,N,deep dive,BUY,deep dive,real-and-mispriced (lead bear = dilution-machine). Pre-net-income model requires periodic equity; ~$110-120M/yr burn vs ~$60M revenue makes a 2027 raise the base case; the $5.00 strike is a visible ov,great trade,Bullish,6.67,5,7.5,15,32,11.79,9-18 months. Near-term re-rate fuel: Q2-2026 print (Aug-2026) EU launch run-rate (Sweden/Spain insertions) + US DTC new-patient adds + reimbursement/payer-breadth disclosure over the next 2-3 quarters,,2026-06-06,,,,,,(06-06 pre-harness; deep-dive layer)
2026-W23,2026-06-07,AIRO,,,Counter-Drone / Autonomous Warfare (C-UAS + attritable drones) [P1 — THE LEAD],N,deep-dive gate,DROP,deep-dive gate,thin-setup-not-worth-a-slot — the ≥4x needs a heroic multi-link chain (Blue UAS on-time → US 'Buy American' channel actually opens → win share vs a GROWING cleared-competitor field → GM recovers → backlog re-accelerates) while the load-bearing §7 discriminator is INVERTED: drone backlog has DECLINED,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,AMPX,,,"High-Energy-Density Silicon-Anode & NDAA-Compliant Advanced Cells [P2] (HUNT; AMPX = the clean on-list Direct pure-play, but theme map already flags it 'priced/late')",N,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — survives the §4/§9 hard kills (real converting business, survival adequate, no disqualifier) but is merely-marginal: the >=4x venture path has been CONSUMED by the ~7-8x run (4x now needs ~$11.4B/~88x sales; even the 2029 bull = ~1.5-2x), so it clears neither a credible",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,AMWD,,,Housing & Building-Products (HOLD),V,first triage,DROP,first triage,"Locked into an all-stock merger with MasterBrand at a FIXED 5.150 exchange ratio (deal-defined terms); mature ~$700M cabinet maker with -82% TTM earnings + goodwill impairment — no independent ≥4x path, return is now pinned to MBC's stock at a fixed ratio.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,APPN,,,Agentic Enterprise Software Re-Rate [P2 — HUNT],G,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — strong theme proxy but vehicle geometry caps below the bar: a multi-year-decelerating low-teens grower (13-14% total / 18-19% cloud) can't credibly ≥4x without a heroic multiple-triple, and the 'inflection' is mostly price-uplift/upmarket-upsell on the installed base (n",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,APTV,,,Auto-Supplier (mega-cap),V,first triage,DROP,first triage,"$20B+ auto-supplier mega-cap (Q1-26 rev $5.1B, EBITDA $752M); wrong size class to 4x. The EDS growth-spin (Versigent/VGNT) already separated Apr-1-2026, leaving APTV the residual large-cap — no ≥4x path.",,,,,,,,,,,,,,,,,
