date,ticker,price,tier,theme,structural_force,composite_score,system_fit,advanced,session_verdict,return_driver,conviction_avg,lifecycle_sweet_spot
2026-03-21,BKSY,26.09,T1,sovereign_satellite_isr,Defence Rearmament,8.60,STRONG,yes,WATCHLIST,NARRATIVE_EXPANSION,0,true
2026-03-21,TGB,7.19,,copper_structural_deficit,Copper Structural Deficit,8.10,STRONG,no,WATCHLIST,,,true
2026-03-21,CPRX,24.24,,rare_disease_ma_target,Biotech Capital Cycle,7.10,MODERATE,no,WATCHLIST,,,false
2026-03-21,SVCO,5.98,T3,ai_semiconductor_fab,Agentic AI,6.75,MODERATE,yes,PASS,FUNDAMENTAL_RERATE,2.17,false
2026-03-21,ACRS,3.65,T3,bispecific_antibody_ad,Biotech Capital Cycle,6.65,MODERATE,yes,PASS,CATALYST_DRIVEN,2.50,false
2026-03-21,INV,3.88,T1,dc_immersion_cooling,Data Centre Power Gap,6.95,POOR,no,FAIL,,,false
2026-03-21,PL,33.83,T2,sovereign_satellite_isr,Defence Rearmament,8.60,STRONG,no,FAIL,,,true
2026-03-21,SEI,61.81,,mobile_dc_power,Data Centre Power Gap,7.45,,no,FAIL,,,false
2026-03-21,TSEM,163.63,,sipho_foundry_ai,,6.70,,no,FAIL,,,false
2026-03-21,BTU,37.31,T3,coal_geopolitical,,4.85,POOR,no,FAIL,,,false
2026-03-21,CNR,107.17,T1,coal_geopolitical,,4.85,POOR,no,FAIL,,,false
2026-03-21,SPIR,12.22,T3,space_rf_intelligence,Defence Rearmament,6.55,MODERATE,no,FAIL,,,false
2026-03-21,IE,0.00,,copper_structural_deficit,Copper Structural Deficit,8.10,,no,FAIL,,,true
2026-03-21,VKTX,0.00,,oral_glp1_pipeline,Biotech Capital Cycle,5.95,MODERATE,no,FAIL,,,false
2026-03-21,RDWR,25.22,T3,ai_native_cybersecurity,Agentic AI,6.00,POOR,no,FAIL,,,false
2026-03-21,BNED,8.84,T3,education_subscription,,6.05,POOR,no,FAIL,,,false
2026-03-21,TOI,3.32,T3,value_based_oncology,,6.85,MODERATE,no,WATCHLIST,,,false
2026-03-21,AUDC,8.33,T1,enterprise_voiceai,Agentic AI,5.40,POOR,no,FAIL,,,false
2026-03-21,CCII,10.29,T3,pre_deal_spac,,0,POOR,no,FAIL,,,false
2026-03-21,BRCC,0.85,T2,cpg_coffee_turnaround,,0,POOR,no,FAIL,,,false
