ticker,date,stage,decision,reason_code,type,conviction,theme,reason
AIRO,2026-06-07,tier2,DROP,thin-setup,,,Counter-Drone / Autonomous Warfare (C-UAS + attritable drones) [P1 — THE LEAD],thin-setup-not-worth-a-slot — the ≥4x needs a heroic multi-link chain (Blue UAS on-time → US 'Buy American' channel actually opens → win share vs a GROWING cleared-competitor field → GM recovers → bac
AMPX,2026-06-07,tier2,DROP,thin-setup,,,"High-Energy-Density Silicon-Anode & NDAA-Compliant Advanced Cells [P2] (HUNT; AMPX = the clean on-list Direct pure-play, but theme map already flags it 'priced/late')","thin-setup-not-worth-a-slot — survives the §4/§9 hard kills (real converting business, survival adequate, no disqualifier) but is merely-marginal: the >=4x venture path has been CONSUMED by the ~7-8x "
APPN,2026-06-07,tier2,DROP,thin-setup,,,Agentic Enterprise Software Re-Rate [P2 — HUNT],thin-setup-not-worth-a-slot — strong theme proxy but vehicle geometry caps below the bar: a multi-year-decelerating low-teens grower (13-14% total / 18-19% cloud) can't credibly ≥4x without a heroic m
BNED,2026-06-07,tier2,DROP,thin-setup,,,"Monster-shape — deleveraged college-bookstore / courseware turnaround (standalone, no Tier-0 theme fit)","thin-setup-not-worth-a-slot — credible path only ~2x (re-rate caps there); the flagged 3-4x great-trade lacks the required HIGH CONFIDENCE + protection (Q3 margins decelerating, mid-year guide cut, ne"
BXC,2026-06-07,tier2,DROP,thin-setup,,,"Housing & Building-Products Recovery (priority NONE/HOLD) — BXC = Adjacent building-products distributor, partly rate-levered; rate-decoupled leader is TGLS, not BXC","thin-setup-not-worth-a-slot — no high-confidence, downside-protected, catalyst-defined 3-4x and no ≥4x: only a rate-gated cyclical recovery mgmt dates to 2027+ (0/4 discriminators, margin inflection r"
GLBE,2026-06-07,tier2,DROP,thin-setup,,,Cross-border / global-commerce enablement SaaS platform compounder (Monster-shape standalone; flagged for Tier 0),thin-setup-not-worth-a-slot — real path but ceiling is a quality-grower ~2-3x re-rate (analyst-implied; 4x=~$21.6B unsupported by ~30%-and-decelerating growth at any sane multiple); falls short of BOT
IBIO,2026-06-07,tier2,DROP,no-path,,,"GLP-1 Muscle-Preservation Adjuncts [P3, floor 3] — myostatin-Ab/SARM muscle-sparing adjuncts dosed with GLP-1s","no-path / thin-setup-not-worth-a-slot / weak-proxy — §4 automatic (no credible path of EITHER kind: not a shown ≥4x; not a high-confidence protected 3-4x). Far-dated (2H-2027), undated, EXPLORATORY si"
IRIX,2026-06-07,tier2,DROP,no-path,,,Monster-shape ophthalmic-laser turnaround (no HUNT-theme fit),no-path + thin-setup-not-worth-a-slot — fails the §4 credible-path test (zero discriminators; the margin/CF inflection a V-turnaround needs is asserted for 2027 while GM/EBITDA fell YoY) on a structur
LE,2026-06-07,tier2,DROP,thin-setup,,,Monster-shape — apparel special-situation / brand-licensing JV catalyst (WHP Global JV); no Tier-0 HUNT-theme fit (flagged for Tier 0),"thin-setup-not-worth-a-slot — realistic ceiling ~2-3x SOTP re-rate (matches sell-side $32.50 ""Strong Buy"" PT ≈ 3x and forward P/E ~10x), below the great-trade 3-4x floor, unprotected, hinging on an un"
QTRX,2026-06-07,tier2,DROP,no-path,,,"Blood-Based Alzheimer's Diagnostics (single-name binary; Tier-0 HOLD'd the broader theme). Reframed at Tier 2: QTRX is really a declining life-science-tools company (Simoa + acquired Akoya spatial) with a small, now-flat AD-Dx option — not a clean pure-play Dx binary.",no-path + thin-setup — J1 fails both kinds: the binary was mis-specified (FDA clearance is NOT first-in-class — Fujirebio's p-tau217 test is already FDA-cleared/live via Quest — and NOT the value-unlo
