ticker,sector,last_price,signal_type,signal_strength
AIRO,Industrials,8.29,HMA-pivot,weak
AMPX,Industrials,19.69,HMA-pivot,strong
AMWD,Consumer Cyclical,48.09,HMA-pivot,strong
APPN,Technology,24.73,HMA-pivot,strong
APTV,Consumer Cyclical,68.60,HMA-pivot,strong
ARAY,Healthcare,0.34,HMA-pivot,strong
AUID,Technology,1.25,HMA-pivot,strong
AXON,Industrials,486.12,HMA-pivot,strong
AZTA,Healthcare,22.69,HMA-pivot,weak
BAH,Industrials,79.48,HMA-pivot,strong
BARK,Consumer Cyclical,9.11,HMA-pivot,strong
BBWI,Consumer Cyclical,17.43,HMA-pivot,weak
BNED,Consumer Cyclical,10.37,HMA-pivot,strong
BTAI,Healthcare,1.11,HMA-pivot,strong
BXC,Industrials,50.30,HMA-pivot,weak
CDT,Healthcare,0.74,HMA-pivot,strong
CLPR,Real Estate,3.17,HMA-pivot,weak
CNM,Industrials,51.97,HMA-pivot,strong
CNVS,Communication Services,2.56,HMA-pivot,strong
CNXC,Technology,27.82,HMA-pivot,strong
CPS,Consumer Cyclical,29.32,HMA-pivot,weak
DJT,Communication Services,8.27,HMA-pivot,strong
EBON,Technology,2.10,HMA-pivot,strong
ELAN,Healthcare,23.63,HMA-pivot,weak
ELOG,Industrials,1.21,HMA-pivot,weak
ELTX,Healthcare,13.26,HMA-pivot,strong
FBIN,Industrials,39.06,HMA-pivot,weak
FND,Consumer Cyclical,47.41,HMA-pivot,weak
GLBE,Consumer Cyclical,32.13,HMA-pivot,weak
GXAI,Communication Services,1.38,HMA-pivot,strong
HOV,Consumer Cyclical,109.00,HMA-pivot,weak
IBIO,Healthcare,1.82,HMA-pivot,weak
IDXX,Healthcare,562.16,HMA-pivot,weak
IRIX,Healthcare,1.09,HMA-pivot,strong
JILL,Consumer Cyclical,13.08,HMA-pivot,weak
LE,Consumer Cyclical,10.66,HMA-pivot,weak
MLCO,Consumer Cyclical,5.70,HMA-pivot,strong
MRNO,Real Estate,0.36,HMA-pivot,strong
PACB,Healthcare,1.45,HMA-pivot,weak
PRZO,Industrials,0.67,HMA-pivot,weak
QDEL,Healthcare,14.33,HMA-pivot,strong
QTRX,Healthcare,3.30,HMA-pivot,strong
RXRX,Healthcare,3.32,HMA-pivot,strong
SCOR,Technology,7.95,HMA-pivot,strong
SENS,Healthcare,6.67,HMA-pivot,strong
SKYX,Industrials,1.07,HMA-pivot,weak
STI,Industrials,35.72,HMA-pivot,strong
STRT,Consumer Cyclical,77.31,HMA-pivot,weak
TGLS,Basic Materials,42.35,HMA-pivot,strong
TRIB,Healthcare,0.67,HMA-pivot,strong
TRU,Financial Services,70.66,HMA-pivot,weak
TWI,Industrials,7.29,HMA-pivot,weak
ULBI,Industrials,6.69,HMA-pivot,weak
VERU,Healthcare,3.40,HMA-pivot,strong
WWW,Consumer Cyclical,15.90,HMA-pivot,weak
WYNN,Consumer Cyclical,104.48,HMA-pivot,weak
YXT,Technology,0.54,HMA-pivot,weak
