week_id,anchor_date,theme,sub_theme,surfaced_via,stage,recognition,fuel_mix,floor_level,regime_fit,eligibility_gate,escape_applied,hunting_priority,priority_tier,score_demand,score_growth,score_inflection,score_durability,score_catalyst,score_capital,score_vehicle,demand_mechanism,delta_vs_last_week,proxy_quality,best_vehicles,flagged_this_week
2026-W23,2026-06-06,High-Energy-Density Silicon-Anode & NDAA-Compliant Advanced Cells (drone/eVTOL/defense/space power),"Silicon-anode / next-gen lithium cells where Wh/kg is the binding constraint for unmanned aviation, defense UAVs and LEO/space; NDAA-compliant domestic capacity contracted ahead of revenue","cluster, leading-indicator",early,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P3,strong,building,strong,strong,building,building,building,"Wh/kg energy density is the hard physical bottleneck for UAS endurance, eVTOL range and LEO/satellite power; defense/drone/aero OEMs design silicon-anode cells in via firm POs and contract-mfg capacity, pulled by a funded, dated NDAA domestic-sourcing mandate (new programs 2028, standard batteries 2029, FCC carve-out expiry Jan 2027) creating mandated domestic demand ahead of supply. Pick-and-shov",NEW (cold-start map),,AMPX; STI; ULBI; ENVX; SLDP,AMPX; STI; ULBI
2026-W23,2026-06-06,GLP-1 Muscle-Preservation Adjuncts (anti-catabolic obesity combo drugs),Muscle-sparing adjuncts (myostatin antibodies / SARM) dosed alongside GLP-1s to preserve lean mass and break the weight-loss plateau,cluster,early,open,narrative,3,neutral,pass,none,HUNT,P3,building,strong,building,building,strong,building,building,"GLP-1 obesity drugs cause clinically documented lean-muscle loss; ""quality of weight loss"" is an FDA-acknowledged gap. Small-caps develop muscle-preserving adjuncts (VERU enobosarm/SARM, IBIO-600 anti-myostatin Ab) dosed WITH GLP-1s. Who-pays = obesity-drug makers + payers wanting better body-composition outcomes on the largest pharma TAM of the decade.",NEW (cold-start map),,VERU; IBIO; SRRK,VERU; IBIO
2026-W23,2026-06-06,"Counter-Drone / Autonomous Warfare (C-UAS + attritable drones, Pentagon largest-ever buy)","Counter-UAS interception & net-capture hardware plus attritable-drone procurement under DAWG (Replicator successor), riding funded defense budgets","cluster, top-down, leading-indicator",early,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P1,strong,strong,strong,building,strong,building,building,"Cheap FPV drones neutralizing multi-million-dollar assets (Ukraine/Mideast) triggered a funded government procurement cycle. Converting NOW: Axon/Dedrone Q1'26 counter-drone revenue +300% YoY, bookings +500%; AIRO >$150M contracted drone backlog (Apr'26, majority converting <12mo) + Blue UAS cert Q2'26; Perennial Autonomy $500M 3-yr C-UAS IDIQ (May'26, Merops 4,000+ Ukraine intercepts); Anduril co",NEW (cold-start map),,PRZO; AIRO; GXAI; AXON; ONDS; RCAT,PRZO; AIRO
2026-W23,2026-06-06,Golden Dome Missile Defense (layered shield + space-sensing/transport layer + proliferated-LEO launch),"Proliferated-LEO missile-tracking/sensing + launch cadence + drone-component buildout (the contracted, picks-and-shovels layer beneath the frothy interceptor narrative)","top-down, leading-indicator",early,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,strong,building,strong,strong,building,building,"Funded national-security megaproject converting into FIRM FIXED-PRICE prime contracts NOW: SDA Tranche 3 ~$3.5B FFP for 72 missile-tracking/warning sats (Dec 2025, launch FY29); SpaceX SB-AMTI $4.16B + Space Data Network $2.29B (~$6.45B, fielding 2028); fresh SBI prototype awards up to $3.2B across 12 firms (Apr 2026, incl. RKLB/Raytheon SBI selection); ~$24.4B FY26 reconciliation money confirmed ",NEW (cold-start map),,AIRO; AMPX; ULBI; BAH; RKLB,AIRO; AMPX; ULBI; BAH
2026-W23,2026-06-06,"AI Data-Center Power & Grid Bottleneck (transformers, switchgear, GOES steel, gas turbines, behind-the-meter generation)",Heavy electrical equipment + on-site/islanded power generation gating the hyperscaler AI buildout; open layer = small-cap switchgear/transformer pure-plays + behind-the-meter generation,"top-down, leading-indicator (equipment-as-bottleneck on hyperscaler capex)",mid,closing,fundamental,1,tailwind,pass,decoupled-leader,HUNT,P1,strong,strong,strong,building,building,building,building,"Equipment (not capital) gates the AI buildout: ~$635-725B hyperscaler 2026 capex blocked by ~30% power-transformer shortfall (Wood Mackenzie) and 4-5yr lead times; whoever supplies transformers/switchgear/HVDC/GOES steel + behind-the-meter generation captures committed spend before data centers earn revenue. GEV Q1-2026: $2.4B DC electrification orders (> all FY2025), gas-turbine backlog 83->100 G",NEW (cold-start map),,POWL; PSIX; CNM; AZZ; ATKR,
2026-W23,2026-06-06,Nuclear Renaissance / SMR + HALEU Fuel + Hyperscaler PPAs,HALEU enrichment / domestic fuel sub-bottleneck (Centrus as firm-cash decoupled leader; ASPI/QLE + NNE-via-LIS as earlier-innings fuel leverage); existing-reactor operators (TLN/CEG/VST) as firm-PPA cash anchor,"top-down, leading-indicator (hyperscaler PPA signings + DOE HALEU deliveries/allocations)",mid,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,strong,building,strong,strong,building,building,"Big-tech AI power demand pulling nuclear via firm long-dated PPAs (AWS-Talen 17-yr 1.92GW to 2042 + ~$20B AWS PA; Vistra-Meta 20-yr 2,600+MW; Microsoft-Crane/Constellation 835MW restart 2027) converting through existing-reactor operators NOW; gated upstream by a structurally scarce domestic HALEU enrichment bottleneck (only Russia commercial today) which DOE is funding with $2.7B Jan-2026 enrichme",NEW (cold-start map),,LEU; ASPI; NNE; OKLO; SMR; TLN,
2026-W23,2026-06-06,Rare Earths & Critical Minerals Onshoring (DoD price floors + funded policy),"Heavy-rare-earth / NdPr magnet value chain de-risked by US government cash, price floors and offtake (second-tier magnet/heavy-REE/gallium names, not the priced MP anchor)","top-down, leading-indicator (DoD price-floor / funded-policy signal preceding broad equity recognition of the second-tier chain)",early,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,building,strong,building,strong,building,building,US government-engineered demand: DoD 10-yr ~$110/kg NdPr price floor (~2x market) + $400M preferred equity (DoD ~15% largest MP shareholder) + $150M loan + 30% upside share + funded '10X' magnet facility; MP-Apple $500M definitive recycled-magnet offtake (shipments 2027). Periphery: USAR $1.6B is a NON-BINDING LOI with Dept of COMMERCE under CHIPS Act ($277M direct + $1.3B senior secured 15-yr deb,NEW (cold-start map),,USAR; UAMY; UUUU; CRML; MP,
2026-W23,2026-06-06,Copper Structural Deficit (Electrification Bottleneck),Persistent refined-copper shortfall (data centers + EVs + grid) — long-dated 2030s structural deficit,"top-down, leading-indicator",late,closing,fundamental,2,neutral,pass,none,HOLD,none,building,strong,weak,strong,building,weak,building,"Supply-constrained physical bottleneck: refined-copper deficit triple-driven by data centers (wiring/cooling/power), EVs (~80-100kg Cu/vehicle, 3-4x ICE), and grid modernization, against a 12-18yr mine-development lag. Long-dated deficit corroborated by IEA (~30% supply gap by 2035), WoodMac (+24% demand by 2035, ~43Mt), and BofA (FCX an AI-data-center beneficiary). Mechanism is real but near-term",NEW (cold-start map),,ERO; TGB; CPER; CNM,
2026-W23,2026-06-06,Data-Center Thermal Management / Liquid Cooling,Direct-to-chip + immersion cooling as the rack-density bottleneck,"top-down, leading-indicator",mid,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,strong,strong,building,strong,building,building,"GPU rack power density (TDP >1000W) has exceeded air cooling, forcing direct-to-chip and immersion on every new AI cluster. Cooling spend is non-discretionary and tied directly to funded ~$500-650B 2026 hyperscaler capex; failure to deploy caps AI compute. Converting to realized revenue now, not extrapolated.",NEW (cold-start map),,VRT; MOD; AAON; SMCI; NVMI; BOXABL,
2026-W23,2026-06-06,AI Memory Supercycle (HBM / DRAM),"AI-memory slice (HBM/DRAM) mis-bucketed inside a ""mature"" memory market; commodity DRAM short because wafers reallocated to HBM — adjacent/decoupled edge (WDC HDD-side, durability-recognition gap) over the parabolic leaders",leading-indicator,mid,closing,fundamental,1,neutral,pass,decoupled-leader,HOLD,none,strong,strong,strong,building,strong,building,weak,"AI-driven HBM/DRAM/NAND acute supply squeeze: top-3 DRAM makers (>95% share) reallocated wafers to HBM (~3x wafer/GB vs DDR5), leaving commodity DRAM critically short. Committed offtake: SK Hynix sold out DRAM/NAND/HBM through 2026 (much to Nvidia); hyperscaler + Nvidia multi-year LTAs lock capacity; realized contract-price escalation (DRAM +55-90% QoQ, NAND +33-75% QoQ; DRAM ~+70%+ for 2026) is i",NEW (cold-start map),,WDC; MU; SNDK; SMH,
2026-W23,2026-06-06,Humanoid Robotics / Physical AI Supply Chain,Actuator / harmonic-reducer component bottleneck (pick-and-shovel),"top-down, leading-indicator",early,closing,narrative,3,tailwind,pass,sub-theme,HUNT,P3,building,strong,building,strong,building,building,weak,"Physical-AI component bottleneck converting at the actuator/harmonic-reducer layer: Tesla/Musk $685M Sanhua actuator order (Oct-2025, Mexico delivery 2026); Harmonic Drive Systems booking ~¥2.5B humanoid orders FY3/26 with US-client visibility into doubling/tripling FY3/27; Top Group targeting 300k actuator sets Q2-2026; Chinese suppliers pre-building 100k-1M robot-equivalent capacity. Real firm o",NEW (cold-start map),,,
2026-W23,2026-06-06,Fault-Tolerant Quantum Computing (Logical-Qubit Inflection),Logical-qubit / error-correction milestones on-roadmap + CHIPS $2B equity-stake government pull,"top-down, leading-indicator",early,closing,narrative,3,tailwind,pass,decoupled-leader,HUNT,P3,building,strong,building,building,strong,strong,building,"Dated logical-qubit/error-correction milestones hitting on roadmap (Quantinuum 94/48 protected logical qubits, logical gate error ~1e-4 beyond break-even, Mar 2026) drive rising government + private capital. NEW vs 0b: ~$2.01B CHIPS/Commerce program — signed letters of intent + minority equity stakes across 9 companies (IBM $1B, Rigetti, D-Wave), binding awards May 2026 — converts part of the prio",NEW (cold-start map),,,
2026-W23,2026-06-06,Cybersecurity for the AI/Agentic Era,Post-quantum cryptography (PQC) migration + agentic-threat defense,top-down (Gartner infosec forecast + federal PQC/AI executive-order mandates),mid,closing,fundamental,2,neutral,pass,sub-theme,HOLD,none,strong,building,building,strong,strong,building,weak,"Non-discretionary, policy-reinforced security spend. Gartner global infosec $240B+ in 2026 (+12.5%, revised up to $244.2B/+13.3%), AI/genAI threats a named growth driver. Hard-dated federal PQC mandates: NSM-10 federal-agency transition ~April 2026; June-2025 EO requires contractor PQC readiness by Jan 4, 2027 or contract exclusion; June-2-2026 Trump AI EO stands up an AI cybersecurity clearinghou",NEW (cold-start map),,BAH; AUID,BAH
2026-W23,2026-06-06,"Stablecoins, Tokenization & On-Chain Dollar Rails (GENIUS Act)",GENIUS Act regulatory unlock + funded rulemaking funneling demand into compliant payment-stablecoin issuers and tokenized deposits,"top-down, leading-indicator",mid,closing,fundamental,2,neutral,pass,decoupled-leader,HOLD,none,strong,strong,strong,building,strong,building,weak,"GENIUS Act (first US federal stablecoin law, enacted 18 Jul 2025) creates a regulated pathway for banks/fintechs to issue/custody fully-reserved stablecoins, accelerating settlement of traditional and tokenized securities. Realized via reserve income (Treasury yield on 100%-reserved float) and tokenized-deposit/RWA settlement volume. Implementing rulemaking funded and dated (FDIC/OCC/Treasury NPRM",NEW (cold-start map),,CRCL; SOFI; COIN; BULL; GLXY; HOOD; EBON,
2026-W23,2026-06-06,Next-Gen Obesity / Metabolic Therapeutics,"Oral and multi-pathway GLP-1 successors (amylin combos, dual agonists)","top-down, leading-indicator",mid,open,fundamental,2,headwind,pass,decoupled-leader,HUNT,P3,strong,strong,building,strong,strong,building,building,"Structurally expanding obesity-drug market (~$10.1B 2026 → ~$66.6B 2035, ~23% CAGR; 193+ pipeline assets). Real converting demand: Wegovy/Zepbound/now-Foundayo shipping at scale; injectable supply/convenience ceilings driving the oral/amylin race. Investable edge = next-wave oral GLP-1s + amylin/dual-agonist combos. Firm rising capital is in M&A (Pfizer-Metsera ~$10B cash+CVR completed Nov-2025, e",NEW (cold-start map),,VKTX; GPCR; VERU; ALT; TERN; NVO,VERU
2026-W23,2026-06-06,Next-Gen / Long-Duration Glucose Monitoring & Diabetes Tech,Year-long implantable CGM (Eversense 365) + AID integration & commercial-control reversion vs 10-15 day disposable incumbents,"cluster, leading-indicator",mid,open,fundamental,2,neutral,pass,none,HUNT,P3,strong,building,strong,building,strong,building,building,"CGM shifting from short-life disposables (Abbott/Dexcom/Medtronic ~98% share) toward longer-duration/implantable form factors + automated-insulin-delivery (AID) integration. SENS commercialized Eversense 365 (world-first one-year implantable CGM; FDA Sept 2024, EU CE Jan 2026), retook US commercial/distribution control from Ascensia eff. Jan 1 2026 (revenue-share eliminated → per-unit revenue + gr",NEW (cold-start map),,SENS; TRIB; TNDM; DXCM,SENS; TRIB
2026-W23,2026-06-06,Blood-Based Alzheimer's / Neuro Diagnostics,Plasma p-Tau 217 + multi-analyte algorithmic blood tests displacing PET/CSF for Alzheimer's triage (QTRX LucentAD),leading-indicator,early,closing,fundamental,2,neutral,pass,decoupled-leader,HOLD,none,building,building,building,building,strong,weak,building,Anti-amyloid therapy approvals (Leqembi/Kisunla) created funded clinical need for cheap scalable blood-based triage to identify treatable patients. Reimbursement-and-regulatory-funded adoption: CMS set $897 price for LucentAD Complete; QTRX FDA Breakthrough Designation + multi-analyte 510(k) submitted Feb 2026; Tempus AI distribution channel live. Diagnostics-partner revenue +81% YoY in Q1 2026 ($,NEW (cold-start map),,QTRX; FNA; NTRA; LH,QTRX
2026-W23,2026-06-06,Cancer Immunotherapy / KRAS Vaccine Catalyst Cohort,"Elicio (ELTX) single-name: near-dated, blinded binary mKRAS pancreatic-vaccine Phase 2 DFS readout (AMPLIFY-7P)",leading-indicator (event-driven DFS catalyst on the signal list),early,closing,narrative,4,headwind,pass,decoupled-leader,HOLD,none,weak,building,building,building,strong,building,building,"Funded biotech binary catalyst — a dated, blinded Phase 2 DFS efficacy readout that clinically de-risks the mKRAS-mutant solid-tumor opportunity. ""Demand"" = an efficacy endpoint, not contracted revenue/backlog. Funded through the print (cash $14.9M, runway into Q4 2026, past the mid-2026 analysis), so no forced raise into the catalyst, but outcome unverifiable and pre-commercial.",NEW (cold-start map),,ELTX; RXRX; PACB; QTRX; BTAI,ELTX
2026-W23,2026-06-06,Genomics & Life-Science Research Tools (long-read sequencing + sample infra),Long-read/HiFi sequencing and sample-management/biomarker infrastructure,cluster,early,open,narrative,4,headwind,monitor,decoupled-leader,AVOID,none,weak,building,weak,building,building,weak,building,"Research/clinical sequencing + biomarker workflows (long-read HiFi sequencing platforms, cold-chain sample management/genomic services, ultra-sensitive biomarker assays). Demand is real but capex-sensitive and currently DELAYED/impaired by depressed NIH-biopharma tools funding (15% indirect-cost cap; FY2026 obligations ~34% below FY2024 pace). Announced/funding-dependent, NOT firm — no fixed-price",NEW (cold-start map),,,
2026-W23,2026-06-06,Housing & Building-Products Recovery (repair/remodel + new-build supply chain),"Commercial/multifamily architectural glass + infrastructure-water distribution (TGLS decoupled leader; SKYX big-box product-cycle) carved out of a broad, largely-recognized residential-rate cluster",cluster,mid,closing,narrative,3,neutral,pass,decoupled-leader,HOLD,none,building,building,weak,weak,weak,weak,building,"Bifurcated. Stated unifier = anticipated rate relief reviving housing + repair/remodel + infrastructure spend, but mortgage 6.48% (Freddie Mac Jun-4) forecast >6% all 2026, so no sharp rate catalyst — residential leg in outright contraction. Genuine converting demand concentrated in: TGLS commercial/multifamily architectural glass (record $1.36B backlog +19.1% YoY, book-to-bill 1.3x for 21 straigh",NEW (cold-start map),,,TGLS; CNM; SKYX
2026-W23,2026-06-06,Auto-Supplier Margin Restructuring / Recovery,Multi-year self-help restructuring at legacy auto-parts suppliers inflecting to margin expansion,"cluster (CPS/STRT/APTV margin-inflection screen, +DAN/AXL)",mid,open,fundamental,4,neutral,pass,none,HOLD,none,building,weak,building,weak,building,weak,building,"Internal cost-out + portfolio simplification converting to earnings recovery off a depressed base (STRT gross margin +330bps; DAN funded $325M program lifting guided adj-EBITDA margin 8.1%→10.7%; AXL/Dowlais $12B close; APTV Versigent spin) — a cyclical/idiosyncratic margin-recovery basket, NOT rising secular end-demand.",NEW (cold-start map),,STRT; CPS; APTV; DAN; DCH,STRT; CPS; APTV
2026-W23,2026-06-06,Macau / Integrated-Resort Gaming Recovery,Macau GGR recovery + committed concession capex cycle,cluster (WYNN + MLCO co-fired),late,closing,fundamental,3,neutral,pass,none,HOLD,none,strong,weak,building,weak,building,weak,weak,"Recovering Asian gaming/visitation (Macau GGR +6.7% YoY May 2026, +10.9% YTD, strongest May since pandemic) converting to reported earnings (MLCO Q1-26 rev +11% to $1.37B, net income >2x to $76.8M; Wynn Macau profit +10.9%), PLUS contractually-mandated concession capex (~$14.8-19.3B six-operator mandate; WYNN Enclave $900-950M committed, build H2-2026). Demand firm and converting but DECELERATING;",NEW (cold-start map),,MLCO; WYNN,MLCO; WYNN
2026-W23,2026-06-06,Companion-Animal / Pet Health (vet diagnostics + therapeutics),Diagnostics-penetration / attach-rate + therapeutic share + pet-insurance subscription (NOT recession-proof wallet),cluster (ELAN + IDXX co-firing; 0b recall),mid,open,fundamental,2,neutral,pass,none,HOLD,none,strong,building,strong,building,weak,weak,building,"Firm, converting, recurring-revenue demand already on the P&L: IDXX CAG recurring diagnostics +11% organic with raised FY guide ($4.675-4.760B); ELAN Pet Health +12% on Zenrelia (blockbuster) + Credelio Quattro share gains; TRUP subscription +16% to $269.5M with first GAAP profit. Engine = diagnostics attach/utilization + pricing + therapeutic share OFFSETTING soft visit volumes (IDXX visits -1.7%",NEW (cold-start map),,ELAN; IDXX; TRUP; ZTS,ELAN; IDXX
