date,ticker,price,tier,theme,structural_force,composite_score,system_fit,advanced,session_verdict,return_driver,conviction_avg,lifecycle_sweet_spot
2026-04-06,KARO,49.68,T4,fleet_telematics_saas_em,,6.55,POOR,yes,PASS,FUNDAMENTAL_RERATE,2.67,false
2026-04-06,VOR,18.05,T3,blys_april_autoimmune,Biotech Capital Cycle,7.70,MODERATE,no,WATCHLIST,,,false
2026-04-06,IMTX,10.35,T6,prame_immunotherapy,Biotech Capital Cycle,6.50,POOR,no,FAIL,,,false
2026-04-06,AZ,7.48,T3,ai_smart_checkout,,4.60,POOR,no,FAIL,,,false
2026-04-06,SRPT,23.23,T3,sirna_expansion,,5.30,POOR,no,FAIL,,,false
2026-04-06,BFLY,4.11,T6,handheld_ultrasound,,5.00,POOR,no,FAIL,,,false
2026-04-06,XNCR,12.81,T6,bispecific_fc_platform,,5.00,POOR,no,FAIL,,,false
2026-04-06,EVLV,6.03,T6,ai_weapons_detection,,4.95,POOR,no,FAIL,,,false
2026-04-06,ABSI,3.06,T6,ai_antibody_design,,4.20,POOR,no,FAIL,,,false
2026-04-06,RCAT,12.15,,small_tactical_uas,Defense Autonomous Systems,7.95,STRONG,no,WATCHLIST,,,true
2026-04-06,NTNX,41.10,T2,cloud_infrastructure,,,,no,FAIL_SIZE,,,
2026-04-06,CENX,62.57,T4,aluminum_production,,,,no,FAIL_SIZE,,,
2026-04-06,SNX,186.92,T4,it_distribution,,,,no,FAIL_SIZE,,,
2026-04-06,ACLS,95.09,T5,ion_implant_equipment,CHIPS Act Disbursement,,,no,FAIL_SIZE,,,
2026-04-06,FLY,32.93,T6,aircraft_leasing,,,,no,FAIL_SIZE,,,
2026-04-06,WH,82.16,T6,hotel_franchising,,,,no,FAIL_SIZE,,,
2026-04-06,BRZE,23.68,T4,customer_engagement_saas,,,,no,FAIL_SIZE,,,
2026-04-06,PROP,2.41,T6,insurtech,,,,no,FAIL_SIZE_SMALL,,,
2026-04-06,RDCM,12.50,T6,video_networking,,,,no,FAIL_SIZE_SMALL,,,
