timestamp,symbol,price,beta,banker,momentum_4w,return_20d,tier,theme,theme_score,pure_play_score,theme_verdict,final_decision,conviction,sector_status,upside_potential,bullish_factors,risk_factors,reasoning,passed_all_gates
2026-01-05 18:20:31,RCAT,10.41,2.67,100,29.5,29.8,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,UCTT,29.73,2.29,100,14.1,13.3,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,PI,171.58,2.14,69.2,18.1,8.4,TIER2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,CC,12.73,2.08,70.3,-1.7,0.2,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,ALGM,28.56,1.94,74.3,5.3,-2.3,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,FIX,1037.41,1.81,94.3,7.2,3.6,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,PENG,20.86,1.75,56.9,0.1,-3.3,TIER3,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,TMC,7.28,1.69,60.8,9.6,-4.2,TIER2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,IBKR,70.96,1.65,96.0,10.6,10.0,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,XYZ,68.93,1.62,86.3,6.5,12.8,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,BBWI,20.72,1.6,74.8,3.3,10.0,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,TLN,387.65,1.53,77.0,8.8,9.4,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,PENN,15.39,1.51,86.0,7.8,11.4,TIER1,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,REZI,36.31,1.51,64.1,0.3,7.4,TIER2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:20:31,VECO,31.57,1.5,65.3,3.1,-1.5,TIER2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,,NO
2026-01-05 18:27:38,RCAT,10.38,2.67,100,29.0,29.4,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,UCTT,29.76,2.29,100,14.2,13.4,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,PI,171.6,2.14,69.3,18.1,8.4,TIER2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,CC,12.8,2.08,73.1,-1.2,0.8,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,ALGM,28.53,1.94,73.8,5.3,-2.3,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,FIX,1035.25,1.81,93.2,7.0,3.4,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,TMC,7.28,1.69,60.8,9.6,-4.2,TIER2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,IBKR,70.86,1.65,95.1,10.5,9.9,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,XYZ,68.77,1.62,85.0,6.2,12.5,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,BBWI,20.79,1.6,76.6,3.7,10.4,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,TLN,386.76,1.53,75.8,8.5,9.2,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,PENN,15.36,1.51,84.9,7.6,11.1,TIER1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,REZI,36.33,1.51,64.3,0.4,7.4,TIER2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:27:38,VECO,31.52,1.5,64.6,2.9,-1.7,TIER2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,,NO
2026-01-05 18:34:07,RCAT,10.46,2.67,100,30.0,30.4,TIER1,Defense & Aerospace Manufacturing,0.0,85,GOOD FIT,CONSIDER,3,Warm 🔥🔥,Moderate (20-50%),Growing cybersecurity market; Enterprise security demand,Small cap volatility; Competitive enterprise software space; Execution risk on growth,Red Cat Security operates in a growing cybersecurity niche but faces typical small-cap execution risks. Sector tailwinds present but competitive landscape intense.,YES
2026-01-05 18:34:07,UCTT,29.76,2.29,100,14.2,13.4,TIER1,AI Power Infrastructure / Grid Modernization,0.0,40,GOOD FIT,SKIP,2,Cooling 🔥,Limited (<20%),Specialized semiconductor processing equipment,Cyclical semiconductor downturn; Customer concentration risk; Capital intensive business model,Ultra Clean Technologies faces headwinds from semiconductor cycle downturn. Equipment demand typically lags chip recovery; making timing challenging for momentum plays.,NO
2026-01-05 18:34:07,CC,12.86,2.08,75.4,-0.7,1.3,TIER1,Materials & Mining,0.0,70,GOOD FIT,SKIP,2,Cold ❄️,Limited (<20%),Potential turnaround story,Retail sector challenges; Consumer spending pressure; Operational restructuring needs,Chemours faces ongoing operational challenges and the broader retail/consumer environment remains pressured. Limited momentum potential in current environment.,NO
2026-01-05 18:34:07,ALGM,28.51,1.94,73.4,5.2,-2.4,TIER1,AI Power Infrastructure / Grid Modernization,0.0,55,STRONG FIT,CONSIDER,3,Warm 🔥🔥,Moderate (20-50%),5G infrastructure buildout; Telecom equipment demand; Potential margin expansion,Customer concentration; Cyclical telecom capex; Supply chain pressures,Allegro MicroSystems benefits from 5G and automotive semiconductor trends; but faces typical semiconductor sector cyclicality and customer concentration risks.,YES
2026-01-05 18:34:07,FIX,1034.45,1.81,92.8,6.9,3.3,TIER1,AI Power Infrastructure / Grid Modernization,0.0,80,STRONG FIT,SKIP,2,Cooling 🔥,Limited (<20%),Healthcare services demand,Regulatory pressures; Reimbursement challenges; Operational complexity,Comfort Systems faces healthcare sector headwinds including regulatory pressures and reimbursement challenges. Limited momentum catalysts visible.,NO
