ticker,status,entry_date,entry_price,exit_date,exit_price,highest_close,theme,tier,signal_type,conviction,notes,stop_pct,position_size_pct,position_dollars,sizing_gear,structural_force
SOFI,CLOSED,2024-02-22,7.90,2026-04-27,18.44,32.00,Financial Technology,T1,PASS,8,"[DELISTED?]; Exit: Profit lock (current +133% → 20% trail from $32.00, lock=$25.60)",,0.1,,,Financial Infrastructure
EVTL,CLOSED,2026-02-22,4.50,2026-04-20,3.00,7.00,Drone tech,T3,PASS,8,[DELISTED?]; Exit: Manual exit,,0.1,,,Defence Spending
NVDA,OPEN,2025-03-01,150.00,,,225.32,AI Chip Manufacturer,T3,PASS,6,[DELISTED?],0.5,0.1,,,AI Infrastructure
AMD,OPEN,2025-03-02,120.00,,,516.10,Semiconductors,T1,PASS,7,[DELISTED?],0.5,0.1,,,AI Infrastructure
TMDX,CLOSED,2025-06-03,65.00,2026-04-05,100.69,150.00,Organ Transplantation,T1,PASS,8,"[DELISTED?]; Exit: Profit lock (current +55% → 25% trail from $150.00, lock=$112.50)",,0.1,,,Biotech Capital Cycle
ASPI,OPEN,2025-10-04,6.00,,,14.40,Nuclear Fuel,T2,PASS,8,[DELISTED?],0.5,0.1,,,Nuclear Renaissance
HIVE,OPEN,2025-10-04,2.10,,,6.00,Crypto Miner and Datacentres,T1,PASS,7,[DELISTED?],0.5,0.1,,,AI Infrastructure
BAND,OPEN,2026-03-08,16.55,,,64.97,AI Voice CPaaS Infrastructure,T3,PASS,6,"[DELISTED?] Bandwidth owns the only independent Tier-1 IP voice network in CPaaS, giving it 20-50% cost advantages over Twilio and a structural moat nearly impossible to replicate. At 0.7x forward revenue — cheapest in the peer group despite 16% guided growth — the market prices in single-digit growth and ignores the emerging AI voice infrastructure thesis. The risk/reward from $16.55 is asymmetric: $21-28 on execution, $28-53 in a takeout, $10-12 on thesis failure.",0.3,,,,AI Infrastructure
VYGR,OPEN,2026-03-18,4.45,,,4.45,BBB Gene Therapy Platform,T2,PASS,6,"[DELISTED?] Voyager Therapeutics at $4.45 offers a 4.5:1 risk-reward on a validated BBB gene therapy platform that pharma is paying $800M-$1.4B to access, while the public market assigns just $56M of enterprise value above cash. The catalysts are specific (VY1706 IND Q2, FIH H2 2026), the downside is structurally bounded by a $3.43-3.63 cash floor, and an elite biotech specialist fund (EcoR1) increased its stake 497% in Q4 2025.",0.3,0.1,,,
SVCO,OPEN,2026-03-24,5.98,,,11.49,AI semiconductor fab optimization,T3,PASS,7,"[DELISTED?] Silvaco at $5.98 trades at 2.8x revenue when EDA peers trade at 11-16x. The new CEO (Walden Rhines, grew Mentor Graphics from $400M to a $4.5B Siemens acquisition) bought $170K of open-market shares at the all-time low. Cost cuts are 70% done, Mixel IP acquisition doubled SIP revenue in five months, and non-GAAP profitability is targeted by H1 2026.",0.3,,,,
ACRS,OPEN,2026-03-24,3.65,,,4.93,Bispecific antibody AD pipeline,T3,PASS,7,"[DELISTED?] At $3.65, ACRS trades at $296M enterprise value in a TSLP M&A environment where single Phase 2-ready assets have commanded $1.0 to $1.4 billion. Four clinical programs provide multi-shot optionality, reducing all-fail probability to approximately 17%. The bosakitug Phase 2 readout in Q4 2026 is the primary catalyst.",0.3,,,,
KARO,OPEN,2026-04-07,48.05,,,53.35,Fleet Telematics SaaS in Emerging Markets,T3,PASS,7,"Karooooo is a Rule of 60 SaaS compounder (20% growth + 46% EBITDA margins) with zero dilution, founder-CEO owning 58%, 2.57M subscribers across 23 countries. Trades at 63% EV/Revenue discount to Samsara due to EM domicile, thin float, ZAR revenue — all actively resolving.",0.3,,,,
CYRX,OPEN,2026-04-14,9.67,,,15.69,CGT cold chain logistics monopoly,T2,PASS,8,"Cryoport controls ~70% of the global CGT pipeline logistics and 20 commercial therapies. At $70M enterprise value on $192M guided revenue with $411M cash providing 85% downside protection, the stock is priced for failure while approaching its first positive EBITDA quarter.",0.3,,,,
KYTX,CLOSED,2026-04-14,9.22,2026-05-31,8.52,9.93,CAR-T autoimmune first-to-market,T2,PASS,7,"Kyverna's miv-cel is positioned to become the first FDA-approved CAR-T therapy for autoimmune disease. At $9.22, the market implies 73% failure probability; we assign 19%. The 54-percentage-point gap on an imminent BLA filing is the entire opportunity.; Exit: HMA exit (HMA pivot high / HMA down)",0.3,,,,
NAMS,OPEN,2026-04-14,34.76,,,38.73,Oral CETP inhibitor regulatory filing,T3,PASS,6,"NewAmsterdam's obicetrapib is the only CETP inhibitor in late-stage development, targeting the $20B+ LDL-lowering market with an oral pill. Five catalysts over 18 months create compounding re-rating potential, but PREVAIL is the defining binary event and the CETP class has failed four times before.",0.3,,,,
VOYG,OPEN,2026-04-20,29.00,,,49.53,Commercial Space Station + Defense Tech,T3,PASS,6,"Voyager Technologies (NYSE: VOYG): defense and space technology platform. Three divisions including Defense and National Security. Lead asset is Starlab — a commercial space station replacing ISS, advanced ten NASA milestones in 2025. FY25 revenue $166.4M (+15% YoY), Q4'25 $46.7M. Market cap ~$1.82B. Five acquisitions completed in 2025. W17 scanner: T6 (UC=12.0, RSI=54, no MACD cross). Manual entry at $29.00 on 2026-04-20.",0.3,,,,Defense Spending
