week_id,anchor_date,theme,sub_theme,surfaced_via,stage,recognition,fuel_mix,floor_level,regime_fit,eligibility_gate,escape_applied,hunting_priority,priority_tier,score_demand,score_growth,score_inflection,score_durability,score_catalyst,score_capital,score_vehicle,demand_mechanism,delta_vs_last_week,proxy_quality,best_vehicles,flagged_this_week
2026-W23,2026-06-07,Counter-Drone / Autonomous Warfare (C-UAS + attritable drones),C-UAS interception & net-capture hardware + DAWG attritable-drone/interceptor procurement (JIATF-401 conversion engine),cluster + top-down + leading-indicator,early,closing,fundamental,2,tailwind,pass,decoupled-leader + sub-theme,HUNT,P1,strong,strong,strong,building,strong,strong,building,"Funded government procurement converting to firm backlog/bookings/awards. Cheap FPV/Shahed-class drones killing multi-million-dollar assets triggered a procurement cycle now converting via firm cash IDIQs/POs. JIATF-401 is the conversion engine: Perennial Autonomy $500M C-UAS IDIQ (May 19, largest single C-UAS award to date; ~13,000 Merops interceptors at ~$15K vs $30-50K Shahed); Anduril $20B Lat",Structurally UNCHANGED but re-verified with fresh current data and STRENGTHENED at the margin vs the 2026-06-06 cold-start block. capital_momentum upgraded building->strong (Mach $300M Series C at $1.8B/4x-in-12mo for Dart C-UAS Jun 1; $14.6B defense-tech VC 2026 YTD vs $9.6B prior full-year record;,"adequate-to-strong on-list: PRZO + AIRO are clean Direct pure-plays; the rest of the on-list set is weak/derivative (GXAI) or mega-cap (AXON). Theme stays HUNT/P1 — gates clean (eligibility pass; floor 2 firm converting demand + committed capital; recognition closing but the cohort still DISCRIMINATES so the decoupled-leader escape applies, not closed-froth). Hunt the discriminated/converting micro tail (PRZO/AIRO), avoid the already-re-rated liquid headline names.",PRZO; AIRO; GXAI; AXON; ONDS; RCAT; DRO,PRZO; AIRO
2026-W23,2026-06-07,Golden Dome Missile Defense (layered shield + space-sensing/transport + proliferated-LEO launch),proliferated-LEO tracking/sensing + launch + interceptor/bus picks-and-shovels sub-layer (the contracted layer beneath the frothy interceptor narrative),top-down + leading-indicator,early,closing,fundamental,2,tailwind,pass,decoupled-leader + sub-theme (available but no clean on-list vehicle left to hunt),HOLD,none,strong,strong,weak,strong,strong,building,weak,"Funded ~$175B / ~$24.4B-FY26 megaproject converting into FIRM fixed-price prime awards now — but the cross-check proved the firm cash flows OFF-LIST/PRIVATE/MEGA-CAP, not to the on-list small-cap layer. Verified: Space Force SBST/SB-AMTI $4.16B space-sensing constellation award went to SpaceX (private), NOT the on-list launch/bus/sensor layer; the $3.2B space-based-interceptor framework went to 12",MATERIAL DOWNGRADE from HUNT to HOLD vs the 2026-06-06 cold-start block. The adversarial cross-check overturned the on-list-vehicle thesis: vehicle_quality building->WEAK and inflection_evidence building->WEAK. New conversion datapoints are real but undercut the small-cap layer — $4.16B SBST went to,"WEAK on-list. Theme is REAL with firm cash (verdict: survived-with-caveats, demand firm, recognition closing) but the vehicle layer is the binding weakness — firm dollars go private/mega-cap, on-list AMPX/AIRO are mis-attributed drone plays, ULBI has no award, and STI is a firewall-fail pump. DOWNGRADED to HOLD/none: stop hunting NEW on-list names here (a downgrade is never a sell). Liquid drone/space cohort already re-rated indiscriminately (ONDS/UMAC/RCAT LTM) — STAND-DOWN pressure on the cohort; decoupled-leader escape = RKLB off-list. Light vehicle note only.",BAH; AMPX; ULBI; STI; RKLB,
2026-W23,2026-06-07,US Shipbuilding / Maritime Industrial Base Revival,autonomous/unmanned MUSV + marine-systems small-caps — now anchored by the Navy MUSV Marketplace (May 22 7-company down-select); legacy naval/sub industrial base,completeness-critic + leading-indicator,early,open,fundamental,2,tailwind,pass,sub-theme,HOLD,none,strong,strong,building,building,strong,strong,weak,"Enacted, FIRM policy rebuilding an atrophied US shipbuilding base: FY2026 Defense Appropriations Act (signed) provides $27.2B for 17 ships + $1.5B Maritime Industrial Base (a $6.5B increase over request); Virginia-class running ~1.1-1.3/yr vs the 2/yr requirement (hard observable bottleneck). The mechanism SHARPENED this week from broad-approps to a dated competitive-procurement funnel: Navy MUSV ","DOWNGRADE from HUNT to HOLD vs the 2026-06-06 cold-start block — driven by the vehicle gate, not by the theme weakening. The mechanism actually SHARPENED (catalyst_density building->STRONG): Navy MUSV 7-company down-select (May 22) + Saronic Marauder launch + $300M Franklin expansion turn broad appr","WEAK / ABSENT on-list. Theme REAL with enacted firm funding (verdict: survived-with-caveats, demand firm, recognition open-because-empty); the MUSV sub-theme escape sharpened the mechanism (7-co down-select) but autonomous-layer demand_firmness is MIXED (conditional $15M trials payment, production eligibility only — fails the firm-FFP-cash bar). ZERO on-list pure-play — pure-plays are private (Saronic). HOLD/none: keep as benchmark watch, do not deploy; light vehicle note only. Watch for a listed maritime-autonomy IPO (Saronic a prime candidate) and any MUSV trial-to-production conversion.",HII; GD; MRCY; LDOS,
2026-W23,2026-06-07,Commercial Space Launch & Satellite Cadence,Reusable medium-lift launch (RKLB/FLY) + small-sat/bus manufacturing + D2D constellation (ASTS) + space-infrastructure picks-and-shovels (RDW); civil/commercial value chain funded by the reopening IPO window,completeness-critic (carried) + leading-indicator (this-session capital-flow + new listed launch vehicle FLY),early,closing,fundamental,2,tailwind,pass,"decoupled-leader (RKLB, category leader) + sub-theme (under-covered sat-bus/picks-and-shovels layer)",HUNT,P1,strong,strong,strong,building,strong,building,building,Recurring launch-as-a-service + constellation/sat-bus demand off record commercial launch cadence (a liftoff ~every 28h in 2025) CONVERTING contracted backlog to revenue: RKLB backlog $2.2B (+108% YoY) -> record revenue +63.5% YoY at 38.2% GAAP GM; FLY $1.3B backlog ~80% of 2026 booked -> Q1 rev +40% QoQ; ASTS proliferated-LEO D2D constellation deploying toward ~45 sats in 2026 under FCC commercia,"Held P1 HUNT but recognition hardened toward priced at the LIQUID benchmarks: the SpaceX IPO (~$1.75-2T, up to ~$75B, the largest ever) prices ~Jun 11-12 as a hard recognition-closing event with cohort-wide round-trip risk, and RKLB just round-tripped ~27% from its May-27 ATH ($151.00->$110.08 by Ju",strong,RKLB; FLY; ASTS; PL; RDW; BKSY; LUNR,
2026-W23,2026-06-07,In-Space Mobility / Last-Mile Orbital Servicing (OTV),"Post-launch orbital transfer vehicles (OTV / space tugs) + in-orbit delivery/servicing layer riding on cheap rideshare launch (Impulse Mira/Helios, Momentus Vigoride)","leading-indicator (Impulse $500M Series D mega-round) + bottom-up cluster (now has a LISTED proxy, MNTS)",early,open,mixed,4,headwind,monitor,none,STAND-DOWN,none,weak,building,weak,building,building,building,weak,"Post-launch payload mobility & in-orbit servicing — orbital transfer vehicles place sats in precise orbits and extend in-orbit operations as launch cheapens and constellations proliferate. Evidenced by Impulse $500M Series D @ $4.26B (>$1B total, Mira in orbit, Helios 2027), Sierra Space $550M/$8B, and Momentus Vigoride OTV milestone-based NASA/DoD contracts (~$10M 2026 rev guide, 9x YoY off a $1.","NEW sub-theme this session. The 2026-06-06 baseline surfaced this layer ONLY via Impulse's private $500M round and explicitly noted 'no clean US-listed small-cap pure-play yet.' This session surfaces a LISTED proxy — Momentus (MNTS) — partially filling the vehicle gap, but the cross-check verdict is",weak,MNTS; Impulse Space,
2026-W23,2026-06-07,AI Data-Center Power & Grid Bottleneck,Heavy electrical equipment (transformers/switchgear/GOES steel) + behind-the-meter / on-site generation gating ~$650-725B hyperscaler AI capex; open layer = small-cap switchgear/transformer pure-plays + BTM generation,"top-down, leading-indicator (equipment-as-bottleneck on hyperscaler capex)",mid,closing,fundamental,1,tailwind,pass,decoupled-leader,HUNT,P1,strong,strong,strong,building,building,building,building,Equipment (not capital) gates the AI buildout: ~30% power-transformer shortfall + 3-5yr lead times; >half of planned 2026 US DC projects may slip for lack of transformers/switchgear. Hyperscalers respond with behind-the-meter on-site generation (gas turbines/gensets) + pre-ordering years ahead; the next binding gate is grid INTERCONNECTION (36-84mo) now exceeding equipment lead time. Whoever suppl,"Recognition/mechanism INTENSIFIED, no new on-list vehicle. (+) >half of 2026 DC projects at delay-risk for equipment; interconnection (36-84mo) now exceeds equipment lead-time (30+mo) as the binding gate, fueling the BTM boom; Meitner (Jun-4) co-located >1GW DC + 3GWh BESS + on-site gas broke ground","Strong at the off-list top (POWL/GEV) but ZERO deployable on-list — the only on-list name (CNM) is a confirmed false match (waterworks). Recognition closing at mega-cap (GEV +71% YTD, institutions trimming); the still-early shot lives only in the off-list small-cap/BTM layer (POWL/PSIX/AZZ).",POWL; GEV; PSIX; AZZ; ATKR; CNM; NVTS,
2026-W23,2026-06-07,Data-Center Thermal Management / Liquid Cooling,Direct-to-chip + immersion cooling as the rack-density bottleneck; constraint migrating to CDU/coolant-distribution + heat-rejection at the facility envelope,"top-down, leading-indicator",mid,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,strong,strong,building,building,building,building,"GPU rack power density (TDP >1000W) has exceeded air cooling, forcing direct-to-chip + immersion on every new high-density AI cluster; cooling spend is non-discretionary and tied ~1:1 to funded ~$500-650B hyperscaler capex (converting to realized revenue now, not extrapolated). NOTE this week: not universal — Google's Meitner DC opted for AIR cooling, a reminder the liquid mandate is rack-density-","Materially unchanged from 2026-06-06; verified current. Two small wrinkles: (1) VRT's May-conference backlog $12.45B is a sequential decline off $15.0B Q4-25 — noted as a watch, not a trend (FY guide reaffirmed); (2) Meitner (Jun-4) chose AIR cooling (Ogallala aquifer constraint) — a minor 'liquid i",Strong at the large/mid-cap top (VRT/MOD) but the theme has graduated past small-cap purity — NO pure small-cap proxy and ZERO deployable on-list vehicle this week (all best vehicles off-list).,VRT; MOD; AAON; SMCI; NVMI,
2026-W23,2026-06-07,Grid-Scale Energy Storage & LDES,Utility-scale BESS integrators/developers + LDES (zinc/iron-air/flow/thermal) + storage-grade non-lithium cell supply; storage as the firming layer for AI/DC + intermittent load,completeness-critic (electrification value-chain layer omission); top-down,early,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P3,strong,strong,strong,building,building,weak,weak,Storage is the firming layer the constrained grid MUST buy to safely add AI/datacenter + intermittent load — a distinct value-chain layer from generation/transformers. EIA: battery storage = 24 GW / 28% of planned 2026 US additions (2nd-largest source); ~890 GW queued. Base business firmly converting (FLNC ~85% of FY26 revenue already in $5.6B backlog). The specific AI-DC<->storage bridge driving ,"DOWNGRADED P1->P2 (still HUNT). Recognition ACCELERATING at the marquee, no new on-list vehicle, and the cross-check surfaced two understated caveats. (1) FLNC re-rated +39-44% (~Jun-1) on the Siemens+Nvidia three-way AI-DC collaboration (Vera Rubin NVL72 + 136 MW reference design) — clearest AI-DC<","REAL theme with the strongest demand floor of the three (EIA: storage 24 GW / 28% of 2026 US additions, ~890 GW queued; storage ITC survives OBBB to 2033) — but the small-cap cohort is bifurcated/RUIN-ADJACENT (EOSE negative equity, STEM/GWH distressed) and the marquee FLNC overshot on an ANNOUNCED-not-firm AI-DC hook. Proxy adequate at the integrator top (FLNC strong on purity / NRGV adequate), weak/ruin-flagged at the LDES-cell layer; ZERO deployable on-list (AMPX false match).",FLNC; EOSE; NRGV; STEM; GWH; AMPX,
2026-W23,2026-06-07,Nuclear Renaissance / SMR + HALEU Fuel + Hyperscaler PPAs,HALEU-enrichment fuel sub-bottleneck (Centrus as firm-cash decoupled leader; ASPI/QLE + NNE-via-LIS as earlier-innings fuel leverage) + existing-reactor operators (TLN/CEG/VST) as firm-PPA cash anchor; SMR developers (OKLO/NNE/SMR) de-risking on NRC milestones,top-down + leading-indicator (hyperscaler PPA signings + DOE HALEU deliveries/allocations + NRC milestone cadence),mid,closing,fundamental,2,tailwind,pass,decoupled-leader,HUNT,P2,strong,strong,building,strong,strong,building,building,"Big-tech AI power demand pulling nuclear via firm long-dated PPAs converting through existing-reactor operators NOW, gated upstream by a structurally scarce domestic HALEU enrichment bottleneck DOE is funding ($2.7B Jan-2026 task orders incl. $900M Centrus). TD check: TD-1 NOT firing (DOE funding, NRC cadence, PPAs all advancing); TD-2 NOT firing (regulatory news is de-risking, not disqualifying);","vs 2026-06-06 (cold-start baseline, prior 'NEW'): mechanism UNCHANGED and intact; net HOLD-STEADY at P2 HUNT with capital-momentum COOLING flagged. Genuinely-new this period = two MINOR positives, both off-list benchmarks: Oklo PDC NRC approval + Nano KRONOS CPA accepted (May-2026). SMR/PPA operator","STRONG at the benchmark level (LEU and TLN are clean, firm-cash, Direct proxies), but ZERO playable on-list this week — the whole vehicle set is off the 57. Effective deployable proxy quality = NONE. The clean firm-cash leg is mid/large-cap (benchmark) and the only small-caps (ASPI/NNE/OKLO) are pre-commercial; ASPI degrades to weak on the dilution + announced-only firewall.",LEU; TLN; ASPI; OKLO; NNE; SMR,
2026-W23,2026-06-07,Western Uranium Enrichment / SWU Capacity Bottleneck,"Domestic SWU capacity FIDs (Urenco USA NM, utility-backed) + HALEU/LEU+ enricher early channel (ASPI/QLE) vs the already-run, recognition-closing category-leader LEU",policy-capex + leading-indicator (legislated 2028 cliff + capacity FIDs converting + DOE program),early,closing,fundamental,2,tailwind,pass,decoupled-leader + sub-theme (genuinely-early edge in pre-commercial enricher channel ASPI/QLE vs run-up category-leader LEU),HUNT,P2,strong,strong,building,building,strong,building,building,"Legislated, dated supply cliff (Prohibiting Russian Uranium Imports Act terminates all waivers Jan-1-2028) vs a ~10M SWU/yr structural Western gap, now being met by contracted Western buildout (Urenco USA +2.1M SWU FID, utility-offtake-backed) + the $2.7B DOE enrichment program + Centrus' converting backlog — verified FIRM by the adversarial crosscheck (is_theme_real=true, demand_firmness=firm). T","vs 2026-06-06 (cold-start baseline, prior 'NEW'): demand STRONGER, recognition TIGHTER, a fresh durability caveat — stays P2 HUNT but leaning more selective. MATERIAL POSITIVE: Urenco USA NM expansion FIDed this week (+2.1M SWU ~50%, utility-contract-backed) — converts the legislated-cliff thesis fr","Theme is REAL with FIRM demand (legislated Jan-1-2028 Russian-LEU ban vs ~10M SWU/yr gap; Urenco utility-backed FID this week) but NOT PLAYABLE: the best new-capacity entity (Urenco USA) is uninvestable, the only liquid pure-play (LEU) is a recognition-closing benchmark, and the only listed small-cap (ASPI) is pre-commercial + dilution-flagged. ZERO on-list, ZERO actionable.",LEU; ASPI,
